id,source,text,created
861712617299210240,iPhone,"Director Clapper reiterated what everybody, including the fake media already knows- there is ""no evidence"" of collusion w/ Russia and Trump.",2017-05-08T22:41:12Z
861637456281690113,iPhone,"Honored to welcome Georgia Prime Minister, Giorgi Kvirikashvili to the @WhiteHouse today with @VP Mike Pence.… https://t.co/ohXXgTNtWB",2017-05-08T17:42:32Z
861592420043157504,iPhone,"Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Counsel.",2017-05-08T14:43:35Z
861550676505219073,iPhone,General Flynn was given the highest security clearance by the Obama Administration - but the Fake News seldom likes talking about that.,2017-05-08T11:57:42Z
861544307043467264,iPhone,Congratulations to @PGA_JohnDaly on his big win yesterday. John is a great guy who never gave up - and now a winner again!,2017-05-08T11:32:24Z
861354654856249344,iPhone,Rexnord of Indiana made a deal during the Obama Administration to move to Mexico. Fired their employees. Tax product big that's sold in U.S.,2017-05-07T22:58:47Z
861300169438113793,iPhone,Congratulations to Emmanuel Macron on his big win today as the next President of France. I look very much forward to working with him!,2017-05-07T19:22:17Z
861201362834665472,iPhone,Republican Senators will not let the American people down! ObamaCare premiums and deductibles are way up - it was a lie and it is dead!,2017-05-07T12:49:39Z
861177649179373569,iPhone,When will the Fake Media ask about the Dems dealings with Russia &amp; why the DNC wouldn't allow the FBI to check their server or investigate?,2017-05-07T11:15:26Z
860987464114110465,iPhone,"The reason I am staying in Bedminster, N. J., a beautiful community, is that staying in NYC is much more expensive and disruptive. Meetings!",2017-05-06T22:39:42Z
857604709829529601,iPhone,What's more important? Rebuilding our military - or bailing out insurance companies? Ask the Democrats.,2017-04-27T14:37:51Z
857604623531749376,iPhone,I promise to rebuild our military and secure our border. Democrats want to shut down the government. Politics!,2017-04-27T14:37:30Z
857604537003200512,iPhone,I want to help our miners while the Democrats are blocking their healthcare.,2017-04-27T14:37:09Z
857557522584088576,iPhone,The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO!,2017-04-27T11:30:20Z
857555256003227648,iPhone,"...subject to the fact that if we do not reach a fair deal for all, we will then terminate NAFTA. Relationships are good-deal very possible!",2017-04-27T11:21:20Z
